1;"Suzumiya Haruhi no Yūutsu";Shōnen;28;24;Printemps;Avril;2006;Terminée;"Kyōto Animation";"Suzumiya Haruhi est une jeune fille très mignonne, mais vraiment étrange. Sa seule ambition est de rencontrer des personnes paranormales, des Espers, des Esprits ou toutes sortes d'Aliens.<br />
Dès le premier jour de la rentrée dans son lycée, Haruhi annonce qu'elle n'est pas intéressée par les humains, qu'elle considère comme des gens ennuyants, et pathétiques.<br />
Kyon est dans la même classe que Haruhi, et il ne croit plus du tout aux phénomènes paranormaux. Pour lui ce ne sont que des choses aléatoires, qui n'existent pas, et qui ne sont que des pertes de temps.<br />
Lors de la rentrée, il est tout de suite interpellé par l'annonce d'Haruhi, et il commence déjà à montrer de l’intérêt pour la jeune lycéenne. Malgré plusieurs tentatives, celle-ci l'ignore complétement.<br />
Cependant un jour, il remarqua que sa coupe de cheveux changeait tous les jours, et lui fît la remarque...<br />
Le lendemain, elle se coupa les cheveux...<br />
Ce fût l'élément déclencheur de l'histoire de Suzumiya Haruhi. Elle décida donc de créer son club, un club intéressant, dans lequel elle pourrait s'épanouir pleinement !<br />
Kyon fut entrainé dans le club malgré lui, à l'instar des autres membres du club, qu'elle appela :<br />
<br />
« Brigade SOS : la Brigade de Haruhi Suzumiya pour Offrir aux mondes des Sensations fortes ! »<br />
<br />
C'est le commencement d'une longue et belle histoire...";1;
2;"School Rumble";Tout;26;23;Automne;;2004;Terminée;"Studio Comet";"Tsukamoto Tenma est une jeune lycéenne qui est amoureuse de Karasuma Ôji, un lycéen assez mystérieux. <br />
Harima Kenji est un voyou qui ne va pas en cours et passe son temps à se battre. Cependant, il est amoureux de Tenma.<br />
Plusieurs situations déjantées se suivront grâce à l'intervention de nos deux protagonistes ainsi que de l'ensemble des élèves du lycée.<br />
Au fil des épisodes, certains personnages occuperont une place plus importante dans l'histoire.";6;
3;"Mahō Shōjo Lyrical Nanoha";Tout;13;25;Automne;;2004;Terminée;"Seven Arcs";"Nanoha Takamachi, une écolière ordinaire, vivait une vie paisible et monotone jusqu'au jour où elle rencontra un mystérieux furet.<br />
Suite à cette rencontre notre jeune héroïne obtint d'immenses pouvoirs magiques qui lui feront découvrir un monde nouveau. Un monde où les mages utilisent des programmes pour matérialiser leur magie, un monde rempli de difficultés et d'obstacles, un monde où l'amitié et le courage seront des armes aux même titre que les incantations.<br />
<br />
Ce monde, c'est celui que nous propose de découvrir ce Mahô Shôjo pas comme les autres.";6;
4;D.Gray-man;Shōnen;103;24;Automne;Octobre;2006;Terminée;"TMS Entertainment";"La fin du 19ème siècle, dans cette période sombre, le monde est envahit par des démons, dirigés et créés par le Comte Millénaire qui veut détruire l'humanité : les Akuma. Ces Akuma sont en fait des machines de guerre, dont l'âme est celle d'une personne décédée, rappelée par un proche envahit de tristesse, et de désespoir.<br />
Dans cette série, nous suivons les aventures d'Allen Walker et de ses amis au sein de l'Organisation de l'Ombre, ordre créé par le Vatican pour contrer les agissements du Comte Millénaire. L'Organisation est composée des Apôtres de Dieu, les Exorcistes, choisis par Dieu pour combattre le Mal. Ces Apôtres aux pouvoirs phénoménaux, utilisent l'Innocence pour combattre les Démons du Comte.<br />
<br />
-Kana-";1;
5;"True Tears";Tout;13;24;Hiver;Janvier;2008;Terminée;P.A.Works;"Depuis la mort de son père, Hiromi Yuasa vit dans la famille de Shinichirou Nakagami. Celui-ci, qui est secrètement amoureux d'elle, tente de comprendre pourquoi Hiromi est si renfermée.<br />
<br />
Un beau jour, Shinichirou rencontre Noe Isurugi, une étrange fille qui est à la recherche de ses larmes. Cette rencontre permettra t-elle aux différents personnages d'avouer leurs sentiments les plus profonds ?";6;
6;"Kidō Senshi Gundam 00 - First Season";Shōnen;25;24;Automne;Octobre;2007;Terminée;Sunrise;"Nous sommes en l’an A.D. 2307. Suite à l'épuisement des ressources fossiles, trois grandes puissances se partage l'exploitation de l'énergie solaire (AEU, USEFN, HRL). Cependant, la répartition de cette ressource énergétique est à l'origine de nombreux conflits à travers le monde.<br />
<br />
Pour ramener l'ordre et la paix, une organisation militaire privée nommée « Celestia Being » fait son apparition. Utilisant des Mobiles Suits appelées Gundam, 4 Gundam Meisters (Setsuna, Lockon, Allelujah et Tiera) sont prêts à mener à bien leur mission : arrêter les différentes guerres par la force, même si cela implique de devoir combattre le monde entier.";1;
7;CLANNAD;Seinen;24;24;Automne;Octobre;2007;Terminée;"Kyōto Animation";"Okazaki Tomoya est un lycéen de 3ème année, considéré par certains comme un délinquant.<br />
Un jour il rencontre Nagisa Furukawa sur un chemin bordé de cerisiers en fleurs. <br />
Cette rencontre marque le début d'une relation amicale entre un garçon sans motivation et une jeune fille timide, rêvant de faire du théâtre.";2;
8;Lucky☆Star;Tout;24;23;Printemps;Avril;2007;Terminée;"Kyōto Animation";"Nous suivons une bande de jeunes filles toutes très différentes.<br />
L'une est une otaku née, l'autre une fille de riche, l'autre possède un caractère plutôt calme, et est maladroite, la suivante s'énerve très vite, et les autres personnages sont encore plus spéciaux.<br />
<br />
Dans cet anime, nos jeunes personnages au chara design très particulier, très simple mais qui apporte une touche d'originalité à l'anime une touche encore plus déjantée, discutent de choses tout à fait normales, et les vivent également, mais il y en a toujours une pour faire partir la discussion sur un autre horizon... Konata-chan est souvent concernée...";6;
9;"Mahō Shōjo Lyrical Nanoha A's";Tout;13;25;Automne;;2005;Terminée;"Seven Arcs";"Voilà maintenant quelques temps que Nanoha possèdent ses pouvoirs. Nanoha a repris sa vie en continuant d'entraîner ses pouvoirs magiques.<br />
Mais pendant ce temps, une petite fille handicapée du nom de Hayate Yagami trouve un étrange livre nommée ""Livres des Ombres"" dans l'étagère de sa chambre.<br />
<br />
Plus tard, Nanoha se fait attaquer par une Jeune fille habillé en rouge avec une arme intelligente.<br />
Qui est-elle ? Que veux-t-elle ?";6;
10;"Mahō Shōjo Lyrical Nanoha StrikerS";Tout;26;25;Printemps;;2007;Terminée;"Seven Arcs";"Voilà maintenant dix ans d'écouler depuis l’incident du Livre des Ombres,<br />
Nanoha, Fate et Hayate sont maintenant devenu de jeunes femmes aux responsabilités multiples.<br />
Elles travaillent à présent à plein temps pour le bureau d’administration, chargé de récupérer les Lost Logia, des reliques aux pouvoirs extraordinaires.<br />
<br />
Hayate, Nanoha et Fate créent la Sixième Division Mobile composée de Subaru Nakajima, Teana Lanster, Erio Mondial et Caro Ru Lushe.<br />
Leur mission, récupérer les Lost Logia et défendre le monde des menaces qui pèsent sur lui en la personne d’une mystérieuse petite fille aux pouvoirs magiques or du commun.";6;
